year,code,amount,name,topname,depname,depcat,cat,ref
2014,57115173512,250000,"สอบราคาจ้างปรับปรุงอาคารสำนักงานสาธารณสุขอำเภอท่าวุ้ง","","สำนักงานสาธารณสุขอำเภอท่าวุ้ง","","จ้างก่อสร้าง",""
2014,57125032140,14550,"ซื้อวัสดุสำนักงาน 5 รายการ โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองจันทบุรี","","ซื้อ",""
2014,57125090309,8200,"จ้างซ่อมยานพาหนะและขนส่ง โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองจันทบุรี","","จ้างทำของ/จ้างเหมาบริการ",""
2014,57125238984,6000,"ซื้อวัสดุเชื้อเพลิงและหล่อลื่น โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอโป่งน้ำร้อน","","ซื้อ",""
2014,57115265031,5600,"ซื้อน้ำมันเชื้อเพลิง โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอแหลมสิงห์","","ซื้อ",""
2014,57125110008,19270,"ซื้อวัสดุคอมพิวเตอร์ โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอนายายอาม","","ซื้อ",""
2014,57125268762,11049,"ซื้อวัสดุงานบ้านงานครัว โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอคิชฌกูฏ","","ซื้อ",""
2014,58015001423,13750,"ซื้อวัสดุคอมพิวเตอร์ โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอคิชฌกูฏ","","ซื้อ",""
2014,57125213478,11841,"ซื้อวัสดุสำนักงาน โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองสระแก้ว","","ซื้อ",""
2014,57125333844,6000,"จ้างเหมาผู้ช่วยแพทย์แผนไทย โรงพยาบาลส่งเสริมสุขภาพตำบลท่าเกษมประจำเดือนธันวาคม 2557 โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองสระแก้ว","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58025008073,6000,"จ้างเหมาบริการแพทย์แผนไทย ประจำเดือน มกราคม 2558 โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองสระแก้ว","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58025008148,6000,"จ้างเหมาบันทึกข้อมูล ประจำเดือน มกราคม 2558 โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองสระแก้ว","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58025329282,5000,"จ้างเหมาบริการทำความสะอาด โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองสระแก้ว","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58045200937,5000,"จ้างเหมาบันทึกข้อมูล โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองสระแก้ว","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58055238088,6000,"จ้างเหมาบริการผู้ช่วยแพทย์แผนไทยในรพ.สต.คลองบุหรี่ โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองสระแก้ว","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58055279303,5000,"จ้างเหมาพนักงานบริการ เดือน มกราคม 2558 โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองสระแก้ว","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58055226770,10000,"ซื้อวัสดุประชาสัมพันธ์เพื่อสร้างแรงจูงใจในการตรวจมะเร็งปากมดลูก โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอเมืองสระแก้ว","","ซื้อ",""
2014,57125290933,10000,"ซื้อวัสดุงานบ้านงานครัว ผ้าเช็ดตัวขนาด70*140ซม. จำนวน 100 ผืน โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอคลองหาด","","ซื้อ",""
2014,58025326365,30060,"จ้างเหมาพ่นสารเคมีตัวแก่ยุงลาย โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอคลองหาด","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58035033362,18600,"จ้างเหมาทำอาหารกลางวันและเครื่องดืม โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอคลองหาด","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58055191473,22500,"จ้างเหมาพ่นสารเคมีกำจัดยุงลาย โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอคลองหาด","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58106052844,7138,"จ้างจ้างเหมาถ่ายเอกสารแบบคัดกรอง รพ.สต.บ้านหนองแวง โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอคลองหาด","","จ้างทำของ/จ้างเหมาบริการ",""
2014,57125219296,5000,"ซื้อวัสดุสำนักงาน โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอวังน้ำเย็น","","ซื้อ",""
2014,57125229846,25000,"ซื้อวัสดุวิทยาศาสตร์และการแพทย์ โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอวังน้ำเย็น","","ซื้อ",""
2014,57115238644,6320,"ซื้อวัสดุคอมพิวเตอร์ จำนวน 3 รายการ โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอวัฒนานคร","","ซื้อ",""
2014,57125146382,25000,"ซื้อครุภัณฑ์สำนักงาน(โต๊ะประชุม  1  ชุด) โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอวัฒนานคร","","ซื้อ",""
2014,57125284198,5000,"จ้างทำความสะอาด รพ.สต.บ้านซับนกแก้ว โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอวัฒนานคร","","จ้างทำของ/จ้างเหมาบริการ",""
2014,57125308860,5000,"จ้างจ้างเหมาทำความสะอาดสถานบริการ รพ.สต.บ้านหนองเทา เดือน ธ.ค.57 โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอวัฒนานคร","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58015312829,5000,"จ้างเหมาทำความสะอาดภายในอาคารสำนักงาน โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอวัฒนานคร","","จ้างทำของ/จ้างเหมาบริการ",""
2014,57125151492,5000,"จ้างเหมาทำความสะอาดอาคารสำนักงานและรดน้ำต้นไม้ โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอวัฒนานคร","","จ้างทำของ/จ้างเหมาบริการ",""
2014,57125282449,6500,"จ้างเหมาทำป้ายเฉลิมพระเกียติ  ๕  ธันวามหาราช โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภออรัญประเทศ","","จ้างทำของ/จ้างเหมาบริการ",""
2014,57125301793,39510,"ซื้อวัสดุสำนักงาน โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภออรัญประเทศ","","ซื้อ",""
2014,57125327833,10000,"จ้างป้ายประชาสัมพันธ์ ลดอุบัติเหตุ 7 วันอันตราย ช่วงเทศกาลปีใหม่ 2558 โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอโคกสูง","","จ้างทำของ/จ้างเหมาบริการ",""
2014,57125036915,50700,"ซื้อวัสดุครุภัณฑ์คอมพิวเตอร์ โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอกระสัง","","ซื้อ",""
2014,57125201719,10000,"จ้างเหมาทำเหล็กดัด โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอกระสัง","","จ้างทำของ/จ้างเหมาบริการ",""
2014,57125345008,18000,"จ้างจ้างเหมาซ่อมเชิงชายหลังคา รพ.สต.บ้านจอม โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอกระสัง","","จ้างทำของ/จ้างเหมาบริการ",""
2014,58025028781,10900,"ซื้อวัสดุเชื้อเพลิง มค.2558 โดยวิธีตกลงราคา","","สำนักงานสาธารณสุขอำเภอกระสัง","","ซื้อ",""
